Date/Time;Radiated Energy (e10 J);Impact energy (kt);Velocity (km/s);Altitude (km);Longitude (deg.);Latitude (deg.);Latitude direction (East / West);Latitude direction (North / South);Geo point
2014-10-17T16:07:36+02:00;7.2;0.23;;39.0;66;4;W;S;4.6, 66.3
2014-08-30T01:15:39+02:00;2.6;0.092;;;49;6;W;S;6.2, 49.9
2014-08-28T05:07:45+02:00;3.4;0.12;;;45;3;W;N;3.2, 45.4
2014-05-16T22:06:28+02:00;13.6;0.4;18;30.8;95;39;W;S;39.4, 95.9
2014-03-29T14:45:41+01:00;3.9;0.13;16;30.7;121;28;E;S;28.7, 121.5
2014-03-18T12:02:37+01:00;54.0;1.3;;30.5;111;0;W;N;0.0, 111.8
2014-02-13T07:47:42+01:00;63.0;1.5;;25.0;110;13;W;N;13.3, 110.7
2014-01-15T03:46:19+01:00;14.0;0.41;;29.6;141;18;E;S;18.5, 141.8
2014-01-08T18:05:34+01:00;3.1;0.11;44;18.7;147;1;E;S;1.3, 147.6
2013-12-23T09:30:57+01:00;14.7;0.43;15;34.3;2;39;E;N;39.5, 2.0
2013-11-21T02:50:35+01:00;7.5;0.23;12;59.3;35;44;E;N;44.7, 35.3
2013-07-31T05:50:14+02:00;6.9;0.22;17;29.1;137;31;E;S;31.8, 137.1
2013-07-27T10:30:36+02:00;12.0;0.36;22;26.5;156;0;E;N;0.3, 156.2
2013-04-21T08:23:12+02:00;106.6;2.5;14;40.7;64;28;W;S;28.1, 64.6
2013-02-15T04:20:33+01:00;37500.0;440.0;18;23.3;61;54;E;N;54.8, 61.1
2012-12-18T12:19:17+01:00;2.7;0.095;;;;;;;
2012-11-20T07:25:11+01:00;12.0;0.36;;;86;8;W;S;8.0, 86.0
2012-10-19T18:26:22+02:00;2.3;0.082;13;29.3;49;75;E;S;75.4, 49.6
2012-10-04T00:50:12+02:00;28.0;0.75;17;;21;41;W;S;41.5, 21.9
2012-09-18T21:34:39+02:00;24.4;0.67;18;28.1;52;1;W;N;1.2, 52.2
2012-08-13T07:31:53+02:00;3.3;0.11;;;;;;;
2012-05-04T23:54:49+02:00;22.9;0.63;;;10;76;W;N;76.7, 10.6
2012-04-24T00:01:10+02:00;4.4;0.15;;25.2;107;36;E;N;36.2, 107.4
2012-04-02T18:50:33+02:00;3.2;0.11;;;95;28;W;N;28.1, 95.2
2012-03-03T22:28:24+01:00;10.1;0.31;;20.4;2;7;E;N;7.8, 2.7
2012-02-16T05:50:52+01:00;9.8;0.3;;;151;9;E;N;9.8, 151.8
2012-01-11T03:23:15+01:00;8.5;0.26;;;88;32;E;N;32.2, 88.5
2011-12-19T12:35:39+01:00;13.5;0.4;;36.1;52;30;E;S;30.2, 52.6
2011-12-14T06:01:38+01:00;5.0;0.16;;32.4;89;62;E;S;62.9, 89.6
2011-08-18T16:55:45+02:00;2.3;0.082;;;;;;;
2011-06-16T13:51:50+02:00;2.4;0.086;;40.5;21;67;W;N;67.3, 21.4
2011-05-25T07:40:02+02:00;228.0;4.8;11;59.0;14;4;E;N;4.1, 14.0
2011-03-23T05:24:46+01:00;3.1;0.11;;;;;;;
2011-03-23T05:16:32+01:00;2.2;0.079;;;85;16;W;S;16.8, 85.6
2011-02-12T12:00:12+01:00;2.0;0.073;;;95;7;W;N;7.8, 95.3
